Generation,Population,BestFitness,AverageFitness,WorstFitness,Wind,TargetX,BestAngle,BestForce,BestVariance,AvgAngle,AvgForce,AvgVariance,WorstAngle,WorstForce,WorstVariance
88, 87,-0.009588242,-1.419288,-5.906189,0,20,43.79725,13.89117,12.895,43.47524,13.97691,12.98648,44.07407,15.8435,13.46533
89, 87,-0.00318718,-0.9094179,-6.039191,0,20,44.25707,13.90592,12.65175,43.72698,13.84872,13.05869,43.60297,11.97213,12.85688
90, 87,-0.03720665,-1.374157,-5.583299,0,20,41.84548,13.81924,13.41417,43.625,13.88139,13.21355,44.46268,11.91643,13.39818
91, 87,-0.005197525,-0.9989806,-4.95411,0,20,45.44487,13.8826,13.28,43.63552,13.88933,13.37738,43.01363,11.9566,13.05536
92, 87,-0.001714706,-1.228278,-5.50172,0,20,42.07175,13.8899,13.63695,43.59432,13.88738,13.55314,43.77355,15.86928,13.13691
93, 87,-0.008365631,-1.327539,-6.015357,0,20,43.80613,13.83458,13.41729,43.70008,13.91048,13.61545,42.3458,11.81907,13.99672
94, 87,-0.01983261,-1.008258,-6.908197,0,20,40.28748,13.91782,13.35823,43.24432,13.92179,13.70865,42.87241,16.07067,13.68867
95, 87,-0.004985809,-0.9368321,-4.896317,0,20,45.12725,13.92679,14.53916,43.39547,13.89824,13.8939,42.33052,15.4825,14.22721
96, 87,-0.01946068,-1.327288,-5.873711,0,20,41.84833,13.90034,13.74968,43.46304,13.88695,13.96707,43.82368,15.80213,14.20797
97, 87,-0.002220154,-1.146908,-6.191185,0,20,44.77764,13.94023,14.05977,43.44426,14.00608,14.12338,45.05933,15.94068,14.3238
98, 87,-0.006790161,-1.141248,-6.258022,0,20,43.01828,13.92505,14.99399,43.1543,13.96137,14.23912,41.57918,15.92129,14.03256
99, 87,-0.003622055,-1.220005,-5.789007,0,20,43.3399,13.795,14.14089,43.30309,13.93191,14.39679,44.15783,15.74,15.14603
100, 87,-0.002653122,-1.346602,-5.693928,0,20,39.55816,13.98251,14.22582,44.27999,13.91981,14.47381,38.87142,15.77006,14.30798
1, 87,-0.2795963,-10.33271,-20.70913,0,20,55.50034,14.01989,3.480419,45.49257,11.99792,2.292032,43.93776,19.85799,0.5801034
2, 87,-0.1163082,-4.340971,-11.51766,0,20,38.28252,14.04273,2.987968,41.31156,13.7579,2.599358,49.498,17.58611,3.025023
3, 87,-0.002668381,-1.67533,-5.601652,0,20,38.0056,13.85686,1.75001,43.71535,14.08139,2.801716,44.85267,15.68057,2.62989
4, 87,-0.005289078,-1.049088,-8.045835,0,20,41.89511,13.81428,3.507821,44.96016,14.01611,2.890987,44.27673,16.43254,2.481111
5, 87,-0.0003890991,-0.8932317,-6.12006,0,20,46.28535,13.83949,2.942421,44.45132,13.91881,3.097638,40.93912,15.84478,2.329476
6, 87,-0.002338409,-0.9442138,-5.519115,0,20,45.36633,13.89149,2.604934,44.45286,13.91957,3.23208,41.38004,15.64411,4.271017
7, 87,-0.002845764,-1.015352,-5.710215,0,20,43.14836,13.81101,3.371006,44.82548,13.81489,3.349521,42.54441,15.71297,3.523426
8, 87,-0.009555817,-0.8750502,-5.908178,0,20,43.89857,13.82831,4.283072,44.31311,13.87113,3.459534,43.23781,15.75234,3.131435
9, 87,-0.003633499,-0.623425,-5.624397,0,20,43.69362,13.83048,3.771659,43.85895,13.75366,3.59343,43.92852,15.69357,4.520931
10, 87,-0.000535965,-1.076469,-5.484352,0,20,42.39936,13.83966,3.644977,44.41133,13.7539,3.793179,41.70775,15.58317,3.394088
11, 87,-0.0003700256,-1.045504,-5.705862,0,20,39.17353,13.84027,3.355645,44.09615,13.8114,4.054531,44.8541,15.73155,4.778754
12, 87,-0.006402969,-0.8889335,-5.135956,0,20,41.04027,13.83557,4.278405,43.761,13.72826,4.054617,44.56784,11.86699,4.027159
13, 87,-0.001680374,-0.9337054,-5.470999,0,20,43.21844,13.83069,4.132083,43.91015,13.8944,4.144508,45.18305,15.60446,3.865543
